Kollam,Ittiva,CPI(M)
Kollam,Velinalloor,CPI(M)
Kollam,Elamadu,INC
Kollam,Nilamel,INC
Kollam,Chirakkara,CPI
Kollam,Kummil,CPI(M)
Pathanamthitta,Anicadu,INC
Pathanamthitta,Kaviyoor,BJP
Pathanamthitta,Kottanad,CPI
Pathanamthitta,Kottangal,CPI(M)
Pathanamthitta,Kallooppara,INC
Pathanamthitta,Kunnamthanam,CPI(M)
Pathanamthitta,Mallappally,INC
Pathanamthitta,Kadapra,INC
Pathanamthitta,Kuttoor,CPI(M)
Pathanamthitta,Niranam,
Pathanamthitta,Nedumpuram,CPI(M)
Pathanamthitta,Peringara,CPI(M)
Pathanamthitta,Ayroor,INDEPENDENT
Pathanamthitta,Eraviperoor,CPI(M)
Pathanamthitta,Koipuram,INC
Pathanamthitta,Thottappuzhassery,INDEPENDENT
Pathanamthitta,Ezhumattoor,KC(M)
Pathanamthitta,Puramattom,INC
Pathanamthitta,Omalloor,INC
Pathanamthitta,Chenneerkara,INDEPENDENT
Pathanamthitta,Elanthoor,INC
Pathanamthitta,Cherukole,BJP
Pathanamthitta,Kozhencherry,KC(M)PJJ 
Pathanamthitta,Mallappuzhassery,INDEPENDENT
Pathanamthitta,Naranganam,CPI(M)
Pathanamthitta,Ranni Pazhavangadi,INC
Pathanamthitta,Ranni,KC(M)
Pathanamthitta,Ranni Angadi,CPI(M)
Pathanamthitta,Ranni Perunadu,CPI(M)
Pathanamthitta,Vadaserikara,CPI(M)
Pathanamthitta,Chittar,
Pathanamthitta,Seethathodu,CPI(M)
Pathanamthitta,Naranammoozhy,
Pathanamthitta,Vechoochira,INC
Pathanamthitta,Konni,INC
Pathanamthitta,Aruvappulam,CPI(M)
Pathanamthitta,Pramadom,CPI(M)
Pathanamthitta,Mylapra,CPI(M)
Pathanamthitta,Vallicode,CPI(M)
Pathanamthitta,Thannithodu,INC
Pathanamthitta,Malayalapuzha,CPI
Pathanamthitta,Pandalam Thekkekara,CPI(M)
Pathanamthitta,Thumpamon,INC
Pathanamthitta,Enadimangalam,CPI(M)
Pathanamthitta,Erathu,CPI(M)
Pathanamthitta,Ezhamkulam,CPI(M)
Pathanamthitta,Kadampanad,CPI(M)
Pathanamthitta,Kalanjoor,CPI(M)
Pathanamthitta,Kodumon,CPI(M)
Pathanamthitta,Pallickal,CPI(M)
Pathanamthitta,Aranmula,INC
Pathanamthitta,Mezhuveli,CPI(M)
Pathanamthitta,Kulanada,BJP
Alappuzha,Arookutty,INC
Alappuzha,Chennam Pallippuram,CPI(M)
Alappuzha,Panavally,CPI(M)
Alappuzha,Perumpalam,CPI(M)
Alappuzha,Thycattussery,CPI(M)
Alappuzha,Kadakkarappally,INC
Alappuzha,Vayalar,CPI(M)
Alappuzha,Pattanakkad,INC
Alappuzha,Thuravoor,INC
Alappuzha,Kuthiathod,CPI(M)
Alappuzha,Kodamthuruth,INC
Alappuzha,Ezhupunna,CPI(M)
Alappuzha,Aroor,CPI(M)
Alappuzha,Mararikulam North,CPI(M)
Alappuzha,Kanjikuzhy,CPI(M)
Alappuzha,Thanneermukkom,CPI(M)
Alappuzha,Muhamma,
Alappuzha,Cherthala South,CPI(M)
Alappuzha,Aryad,CPI(M)
Alappuzha,Mannancherry,CPI
Alappuzha,Mararikulam South,CPI(M)
Alappuzha,Purakkad,INDEPENDENT
Alappuzha,Ambalapuzha South,
Alappuzha,Punnapra South,CPI(M)
Alappuzha,Ambalapuzha North,CPI(M)
Alappuzha,Punnapra North,CPI(M)
Alappuzha,Thalavady,CPI(M)
Alappuzha,Edathua,
Alappuzha,Thakazhy,CPI(M)
Alappuzha,Nedumudi,INC
Alappuzha,Champakulam,CPI(M)
Alappuzha,Kainakary,CPI(M)
Alappuzha,Muttar,CPI(M)
Alappuzha,Veliyanad,CPI(M)
Alappuzha,Neelamperoor,CPI(M)
Alappuzha,Kavalam,CPI(M)
Alappuzha,Pulincunnoo,INC
Alappuzha,Ramankary,CPI(M)
Alappuzha,Mulakuzha,CPI(M)
Alappuzha,Venmoney,CPI(M)
Alappuzha,Cheriyanad,CPI(M)
Alappuzha,Ala,CPI(M)
Alappuzha,Puliyoor,
Alappuzha,Budhanoor,CPI(M)
Alappuzha,Mannar,CPI(M)
Alappuzha,Pandanad,INDEPENDENT
Alappuzha,Thiruvanvandoor,INDEPENDENT
Alappuzha,Chingoli,INC
Alappuzha,Karthikappally,INDEPENDENT
Alappuzha,Thrikkunnappuzha,INC
Alappuzha,Kumarapuram,CPI(M)
Alappuzha,Karuvatta,CPI(M)
Alappuzha,Pallippad,CPI(M)
Alappuzha,Cheruthana,INC
Alappuzha,Veeyapuram,CPI(M)
Alappuzha,Mavelikara Thekkekara,CPI(M)
Alappuzha,Chettikulangara,CPI(M)
Alappuzha,Chennithala-Thripperumthura,
Alappuzha,Thazhakara,INDEPENDENT
Alappuzha,Nooranad,CPI(M)
Alappuzha,Vallikunnam,CPI(M)
Alappuzha,Bharanickavu,CPI(M)
Alappuzha,Mavelikara Thamarakulam,INC
Alappuzha,Chunakara,CPI(M)
Alappuzha,Palamel,CPI(M)
Alappuzha,Pathiyoor,CPI(M)
Alappuzha,Kandalloor,
Alappuzha,Cheppad,CPI(M)
Alappuzha,Muthukulam,CPI(M)
Alappuzha,Arattupuzha,CPI(M)
Alappuzha,Krishnapuram,INC
Alappuzha,Devikulangara,
Kottayam,Thalayazham,
Kottayam,Chempu,CPI(M)
Kottayam,Maravanthuruthu,CPI(M)
Kottayam,TV Puram,CPI
Kottayam,Vechoor,INC
Kottayam,Udayanapuram,CPI(M)
Kottayam,Kaduthuruthy,KC(M)
Kottayam,Kallara,INDEPENDENT
Kottayam,Manjoor,CPI(M)
Kottayam,Mulakulam,INDEPENDENT
Kottayam,Neezhoor,KC(M)
Kottayam,Thalayolaparambu,CPI(M)
Kottayam,Velloor,CPI(M)
Kottayam,Aymanam,CPI(M)
Kottayam,Athirampuzha,INC
Kottayam,Arpookara,INC
Kottayam,Neendoor,CPI(M)
Kottayam,Kadaplamattom,CPI(M)
Kottayam,Marangattupilly,KC(M)
Kottayam,Kanakkary,KC(M)
Kottayam,Veliyannoor,CPI(M)
Kottayam,Kidangoor,KC(M)PJJ 
Kottayam,Kuravilangad,INDEPENDENT
Kottayam,Uzhavoor,KC(M)PJJ 
Kottayam,Ramapuram,INC
Kottayam,Bharananganam,INC
Kottayam,Karoor,KC(M)
Kottayam,Kozhuvanal,KC(M)
Kottayam,Kadanad,KC(M)
Kottayam,Meenachil,KC(M)
Kottayam,Mutholy,BJP
Kottayam,Melukavu,INC
Kottayam,Moonnilavu,
Kottayam,Poonjar,CPI(M)
Kottayam,Poonjar Thekkekara,CPI(M)
Kottayam,Thalappalam,INC
Kottayam,Teekoy,INC
Kottayam,Thalanad,CPI(M)
Kottayam,Thidanad,KC(M)
Kottayam,Akalakunnam,INDEPENDENT
Kottayam,Elikulam,CPI(M)
Kottayam,Kooroppada,INDEPENDENT
Kottayam,Pampady,CPI(M)
Kottayam,Pallickathodu,BJP
Kottayam,Meenadom,INC
Kottayam,Ayarkunnam,INDEPENDENT
Kottayam,Kumarakom,CPI(M)
Kottayam,Puthuppally,CPI(M)
Kottayam,Panachikkad,INC
Kottayam,Thiruvarppu,CPI(M)
Kottayam,Vijayapuram,INC
Kottayam,Manarcadu,CPI(M)
Kottayam,Karukachal,CPI(M)
Kottayam,Kurichy,CPI(M)
Kottayam,Madappally,CPI(M)
Kottayam,Paippad,CPI(M)
Kottayam,Thrickodithanam,CPI(M)
Kottayam,Vakathanam,CPI(M)
Kottayam,Vazhappally,KC(M)PJJ 
Kottayam,Chirakkadavu,CPI(M)
Kottayam,Kangazha,CPI(M)
Kottayam,Nedumkunnam,INC
Kottayam,Vellavoor,CPI(M)
Kottayam,Vazhoor,CPI(M)
Kottayam,Erumely,INC
Kottayam,Kanjirappally,CPI(M)
Kottayam,Koottickal,CPI(M)
Kottayam,Manimala,CPI(M)
Kottayam,Mundakayam,CPI(M)
Kottayam,Parathodu,CPI
Kottayam,Koruthodu,INC
Idukki,Adimaly,CPI
Idukki,Konnathady,CPI(M)
Idukki,BysonValley,CPI(M)
Idukki,Vellathooval,CPI(M)
Idukki,Pallivasal,CPI(M)
Idukki,Marayoor,INC
Idukki,Munnar,CPI
Idukki,Kanthalloor,CPI(M)
Idukki,Vattavada,INC
Idukki,Santhanpara,CPI(M)
Idukki,Chinnakanal,INC
Idukki,Mankulam,CPI(M)
Idukki,Pampadumpara,CPI(M)
Idukki,Senapathy,CPI(M)
Idukki,Karunapuram,INC
Idukki,Rajakkad,CPI(M)
Idukki,Nedumkandam,CPI
Idukki,Udumbanchola,CPI(M)
Idukki,Rajakumary,
Idukki,Vannappuram,INC
Idukki,Udumbanoor,CPI(M)
Idukki,Kodikulam,INC
Idukki,Alakode,KC(M)PJJ 
Idukki,Velliyamattom,INDEPENDENT
Idukki,Karimannoor,INDEPENDENT
Idukki,Kudayathoor,KC(M)PJJ 
Idukki,IdukkiKanjikuzhy,INC
Idukki,Vathikudy,KC(M)PJJ 
Idukki,Arakulam,INC
Idukki,Kamakshy,CPI(M)
Idukki,Vazhathope,CPI(M)
Idukki,Mariyapuram,INDEPENDENT
Idukki,Upputhara,CPI(M)
Idukki,Vandanmedu,INDEPENDENT
Idukki,Kanchiyar,BJP
Idukki,Erattayar,KC(M)
Idukki,AyyappanCoil,CPI(M)
Idukki,Chakkupallam,CPI(M)
Idukki,Muttom,
Idukki,Kumaramangalam,
Idukki,Edavetty,KC(M)PJJ 
Idukki,Karimkunnam,INC
Idukki,Manakkad,INC
Idukki,Purapuzha,INC
Idukki,Peruvanthanam,INC
Idukki,Kumily,CPI
Idukki,Kokkayar,CPI(M)
Idukki,Peermade,CPI(M)
Idukki,Elappara,INC
Idukki,Vandiperiyar,CPI(M)
Idukki,Devikulam,CPI
Idukki,"Edamalakkudy
",INC
Ernakulam,Chendamangalam,CPI(M)
Ernakulam,Kottuvally,CPI(M)
Ernakulam,Ezhikkara,INC
Ernakulam,Vadakkekkara,CPI(M)
Ernakulam,Chittattukara,CPI(M)
Ernakulam,Karumallur,CPI(M)
Ernakulam,Varapuzha,INC
Ernakulam,Alangad,CPI(M)
Ernakulam,Kadungalloor,INC
Ernakulam,Mookkannur,
Ernakulam,Thuravoor,INC
Ernakulam,Manjapra,CPI(M)
Ernakulam,Karukutty,INC
Ernakulam,Ayyampuzha,CPI(M)
Ernakulam,Sreemoolanagaram,INC
Ernakulam,Kanjoor,INC
Ernakulam,Kalady,
Ernakulam,MalayattoorNeeleswaram,INC
Ernakulam,Asamannoor,CPI(M)
Ernakulam,Mudakuzha,INC
Ernakulam,Vengoor,CPI(M)
Ernakulam,Rayamangalam,CPI(M)
Ernakulam,Koovappady,INC
Ernakulam,Okkal,INC
Ernakulam,Vengola,INC
Ernakulam,Vazhakulam,CPI(M)
Ernakulam,Kizhakkambalam,Twenty20
Ernakulam,Choornikkara,INC
Ernakulam,Edathala,CPI(M)
Ernakulam,Keezhmad,CPI(M)
Ernakulam,Kadamakudy,CPI(M)
Ernakulam,Cheranalloor,INC
Ernakulam,Mulavukad,INC
Ernakulam,Narakal,
Ernakulam,Nayarambalam,INC
Ernakulam,Edavanakkad,INC
Ernakulam,Elankunnapuzha,INC
Ernakulam,Pallippuram,CPI(M)
Ernakulam,Kuzhuppilly,CPI(M)
Ernakulam,Chellanam,CPI(M)
Ernakulam,Kumbalanghi,INC
Ernakulam,Kumbalam,CPI(M)
Ernakulam,Udayamperoor,CPI(M)
Ernakulam,Mulanthuruthy,INC
Ernakulam,Chottanikkara,CPI(M)
Ernakulam,Edakkattuvayal,INC
Ernakulam,Amballoor,INC
Ernakulam,Poothrikka,INC
Ernakulam,Thiruvaniyoor,CPI(M)
Ernakulam,VadavucodePuthencruz,CPI(M)
Ernakulam,Mazhuvannoor,Twenty20
Ernakulam,Aikaranad,Twenty20
Ernakulam,Kunnathunad,Twenty20
Ernakulam,Paingottoor,
Ernakulam,Nellikuzhi,CPI(M)
Ernakulam,Pindimana,INC
Ernakulam,Kottappady,CPI(M)
Ernakulam,Kavalangad,INC
Ernakulam,Varappetty,INC
Ernakulam,Keerampara,INC
Ernakulam,Pothanicad,
Ernakulam,Pallarimangalam,INDEPENDENT
Ernakulam,Kuttampuzha,INC
Ernakulam,Elanji,KC(M)PJJ 
Ernakulam,Thirumarady,
Ernakulam,Palakuzha,CPI(M)
Ernakulam,Maneed,INC
Ernakulam,Pampakuda,INC
Ernakulam,Ramamangalam,INC
Ernakulam,Puthenvelikkara,CPI(M)
Ernakulam,Chengamanad,INC
Ernakulam,Nedumbassery,INDEPENDENT
Ernakulam,Parakkadavu,INC
Ernakulam,Kunnukara,INC
Ernakulam,Avoly,INC
Ernakulam,Arakuzha,
Ernakulam,Valakom,INC
Ernakulam,Paipra,INC
Ernakulam,Kalloorkad,INDEPENDENT
Ernakulam,Ayavana,IUML
Ernakulam,Manjalloor,INC
Ernakulam,Marady,INC
Thrissur,Kadappuram,IUML
Thrissur,Orumanayur,CPI(M)
Thrissur,Punnayur,CPI(M)
Thrissur,Punnayurkulam,CPI(M)
Thrissur,Vadakkekkad,INC
Thrissur,Choondal,CPI(M)
Thrissur,Chowannur,CPI(M)
Thrissur,Kadavallur,CPI(M)
Thrissur,Kandanassery,CPI(M)
Thrissur,Kattakampal,CPI(M)
Thrissur,Porkulam,CPI(M)
Thrissur,Desamangalam,CPI(M)
Thrissur,Erumapetty,CPI(M)
